Counter: 54, GPS precision: 2.0000000000000000, Latitude: 1.3010149000000000, Longitude: 103.7899797999999976, Xcovariance: 3.5784623622894287, Ycovariance: 4.0507688522338867, Zcovariance: 23.3509254455566406
Counter: 55, GPS precision: 2.0000000000000000, Latitude: 1.3010149000000000, Longitude: 103.7899802999999963, Xcovariance: 3.5611705780029297, Ycovariance: 4.0231399536132812, Zcovariance: 23.1986675262451172
Counter: 56, GPS precision: 2.0000000000000000, Latitude: 1.3010149000000000, Longitude: 103.7899809999999974, Xcovariance: 3.5410580635070801, Ycovariance: 3.9944047927856445, Zcovariance: 23.0354957580566406
Counter: 57, GPS precision: 2.0000000000000000, Latitude: 1.3010146999999999, Longitude: 103.7899819000000008, Xcovariance: 3.5191421508789062, Ycovariance: 3.9603774547576904, Zcovariance: 22.8422107696533203
Counter: 58, GPS precision: 2.0000000000000000, Latitude: 1.3010146000000000, Longitude: 103.7899827999999900, Xcovariance: 3.4846816062927246, Ycovariance: 3.9113683700561523, Zcovariance: 22.5116100311279297
Counter: 59, GPS precision: 2.0000000000000000, Latitude: 1.3010146000000000, Longitude: 103.7899838000000017, Xcovariance: 3.4512076377868652, Ycovariance: 3.8644638061523438, Zcovariance: 22.3117218017578125
Counter: 60, GPS precision: 2.0000000000000000, Latitude: 1.3010146999999999, Longitude: 103.7899845999999968, Xcovariance: 3.4184498786926270, Ycovariance: 3.8188591003417969, Zcovariance: 22.1161212921142578
Counter: 61, GPS precision: 2.0000000000000000, Latitude: 1.3010149000000000, Longitude: 103.7899853999999920, Xcovariance: 3.3844170570373535, Ycovariance: 3.7666501998901367, Zcovariance: 21.8910636901855469
Counter: 62, GPS precision: 2.0000000000000000, Latitude: 1.3010149000000000, Longitude: 103.7899862999999954, Xcovariance: 3.3511557579040527, Ycovariance: 3.7156887054443359, Zcovariance: 21.6709365844726562
Counter: 63, GPS precision: 2.0000000000000000, Latitude: 1.3010147999999999, Longitude: 103.7899870999999905, Xcovariance: 3.3165159225463867, Ycovariance: 3.6655845642089844, Zcovariance: 21.4533882141113281
Counter: 64, GPS precision: 2.0000000000000000, Latitude: 1.3010147999999999, Longitude: 103.7899881000000022, Xcovariance: 3.2663905620574951, Ycovariance: 3.6158151626586914, Zcovariance: 21.2252769470214844
Counter: 65, GPS precision: 2.0000000000000000, Latitude: 1.3010147999999999, Longitude: 103.7899889999999914, Xcovariance: 3.2179656028747559, Ycovariance: 3.5678563117980957, Zcovariance: 21.0030879974365234
Counter: 66, GPS precision: 2.0000000000000000, Latitude: 1.3010147999999999, Longitude: 103.7899896999999925, Xcovariance: 3.1779179573059082, Ycovariance: 3.5236778259277344, Zcovariance: 20.7931327819824219
Counter: 67, GPS precision: 2.0000000000000000, Latitude: 1.3010149000000000, Longitude: 103.7899906999999899, Xcovariance: 3.1394381523132324, Ycovariance: 3.4829156398773193, Zcovariance: 20.5915546417236328
Counter: 68, GPS precision: 2.0000000000000000, Latitude: 1.3010150999999999, Longitude: 103.7899913999999910, Xcovariance: 3.1007442474365234, Ycovariance: 3.4430413246154785, Zcovariance: 20.3891220092773438
Counter: 69, GPS precision: 2.0000000000000000, Latitude: 1.3010153000000000, Longitude: 103.7899922000000004, Xcovariance: 3.0630168914794922, Ycovariance: 3.4041028022766113, Zcovariance: 20.1909332275390625
Counter: 70, GPS precision: 2.0000000000000000, Latitude: 1.3010155999999999, Longitude: 103.7899930999999896, Xcovariance: 3.0233635902404785, Ycovariance: 3.3617148399353027, Zcovariance: 19.9939537048339844
Counter: 71, GPS precision: 2.0000000000000000, Latitude: 1.3010157999999998, Longitude: 103.7899941999999953, Xcovariance: 2.9849283695220947, Ycovariance: 3.3220314979553223, Zcovariance: 19.8127326965332031
Counter: 72, GPS precision: 2.0000000000000000, Latitude: 1.3010161000000000, Longitude: 103.7899949999999905, Xcovariance: 2.9474091529846191, Ycovariance: 3.2802107334136963, Zcovariance: 19.6141147613525391
Counter: 73, GPS precision: 2.0000000000000000, Latitude: 1.3010164000000000, Longitude: 103.7899960000000021, Xcovariance: 2.9106967449188232, Ycovariance: 3.2395272254943848, Zcovariance: 19.4195728302001953
Counter: 74, GPS precision: 2.0000000000000000, Latitude: 1.3010165999999999, Longitude: 103.7899972000000020, Xcovariance: 2.8793611526489258, Ycovariance: 3.2027943134307861, Zcovariance: 19.2358894348144531
Counter: 75, GPS precision: 2.0000000000000000, Latitude: 1.3010169000000000, Longitude: 103.7899984000000018, Xcovariance: 2.8495628833770752, Ycovariance: 3.1703195571899414, Zcovariance: 19.0618343353271484
Counter: 76, GPS precision: 2.0000000000000000, Latitude: 1.3010172000000000, Longitude: 103.7899992999999910, Xcovariance: 2.8204562664031982, Ycovariance: 3.1387717723846436, Zcovariance: 18.8918628692626953
Counter: 77, GPS precision: 2.0000000000000000, Latitude: 1.3010176999999998, Longitude: 103.7900001999999944, Xcovariance: 2.7919759750366211, Ycovariance: 3.1079072952270508, Zcovariance: 18.7256278991699219
Counter: 78, GPS precision: 2.0000000000000000, Latitude: 1.3010180000000000, Longitude: 103.7900013999999942, Xcovariance: 2.7714891433715820, Ycovariance: 3.0799961090087891, Zcovariance: 18.5704307556152344
Counter: 79, GPS precision: 2.0000000000000000, Latitude: 1.3010183000000000, Longitude: 103.7900023999999917, Xcovariance: 2.7514452934265137, Ycovariance: 3.0535507202148438, Zcovariance: 18.4197292327880859
Counter: 80, GPS precision: 2.0000000000000000, Latitude: 1.3010188000000000, Longitude: 103.7900033999999891, Xcovariance: 2.7316482067108154, Ycovariance: 3.0269644260406494, Zcovariance: 18.2698326110839844
Counter: 81, GPS precision: 2.0000000000000000, Latitude: 1.3010193999999999, Longitude: 103.7900042999999926, Xcovariance: 2.7149424552917480, Ycovariance: 3.0036611557006836, Zcovariance: 18.1561088562011719
Counter: 82, GPS precision: 2.0000000000000000, Latitude: 1.3010199000000000, Longitude: 103.7900049999999936, Xcovariance: 2.6985230445861816, Ycovariance: 2.9803390502929688, Zcovariance: 18.0415401458740234
Counter: 83, GPS precision: 2.0000000000000000, Latitude: 1.3010203999999999, Longitude: 103.7900056999999947, Xcovariance: 2.6824009418487549, Ycovariance: 2.9574971199035645, Zcovariance: 17.9284019470214844
Counter: 84, GPS precision: 2.0000000000000000, Latitude: 1.3010210000000000, Longitude: 103.7900068000000005, Xcovariance: 2.6664807796478271, Ycovariance: 2.9351117610931396, Zcovariance: 17.8168907165527344
Counter: 85, GPS precision: 2.0000000000000000, Latitude: 1.3010214000000000, Longitude: 103.7900073999999933, Xcovariance: 2.6501715183258057, Ycovariance: 2.9127392768859863, Zcovariance: 17.7047901153564453
Counter: 86, GPS precision: 2.0000000000000000, Latitude: 1.3010218000000000, Longitude: 103.7900084999999990, Xcovariance: 2.6331663131713867, Ycovariance: 2.8876237869262695, Zcovariance: 17.5765342712402344
Counter: 87, GPS precision: 2.0000000000000000, Latitude: 1.3010222000000000, Longitude: 103.7900090999999918, Xcovariance: 2.6161334514617920, Ycovariance: 2.8660631179809570, Zcovariance: 17.4551944732666016
Counter: 88, GPS precision: 2.0000000000000000, Latitude: 1.3010223999999999, Longitude: 103.7900099000000012, Xcovariance: 2.5989201068878174, Ycovariance: 2.8469810485839844, Zcovariance: 17.3492488861083984
Counter: 89, GPS precision: 2.0000000000000000, Latitude: 1.3010227999999999, Longitude: 103.7900111000000010, Xcovariance: 2.5814969539642334, Ycovariance: 2.8273720741271973, Zcovariance: 17.2423515319824219
Counter: 90, GPS precision: 2.0000000000000000, Latitude: 1.3010230999999999, Longitude: 103.7900118999999961, Xcovariance: 2.5642023086547852, Ycovariance: 2.8081789016723633, Zcovariance: 17.1365699768066406
Counter: 91, GPS precision: 2.0000000000000000, Latitude: 1.3010233000000000, Longitude: 103.7900130999999959, Xcovariance: 2.5451722145080566, Ycovariance: 2.7852778434753418, Zcovariance: 17.0231513977050781
Counter: 92, GPS precision: 2.0000000000000000, Latitude: 1.3010237999999998, Longitude: 103.7900139999999993, Xcovariance: 2.5262093544006348, Ycovariance: 2.7620544433593750, Zcovariance: 16.9096565246582031
Counter: 93, GPS precision: 2.0000000000000000, Latitude: 1.3010241000000000, Longitude: 103.7900149999999968, Xcovariance: 2.5071208477020264, Ycovariance: 2.7391788959503174, Zcovariance: 16.7971382141113281
Counter: 94, GPS precision: 2.0000000000000000, Latitude: 1.3010245000000000, Longitude: 103.7900159999999943, Xcovariance: 2.4873113632202148, Ycovariance: 2.7124252319335938, Zcovariance: 16.6559715270996094
Counter: 95, GPS precision: 2.0000000000000000, Latitude: 1.3010245000000000, Longitude: 103.7900173000000024, Xcovariance: 2.4663925170898438, Ycovariance: 2.6858301162719727, Zcovariance: 16.5160541534423828
Counter: 96, GPS precision: 2.0000000000000000, Latitude: 1.3010245000000000, Longitude: 103.7900185999999962, Xcovariance: 2.4358422756195068, Ycovariance: 2.6571776866912842, Zcovariance: 16.3698863983154297
Counter: 97, GPS precision: 2.0000000000000000, Latitude: 1.3010245000000000, Longitude: 103.7900197999999961, Xcovariance: 2.4089441299438477, Ycovariance: 2.6357607841491699, Zcovariance: 16.2614440917968750
Counter: 98, GPS precision: 2.0000000000000000, Latitude: 1.3010245000000000, Longitude: 103.7900209000000018, Xcovariance: 2.3821926116943359, Ycovariance: 2.6121759414672852, Zcovariance: 16.1401023864746094
Counter: 99, GPS precision: 2.0000000000000000, Latitude: 1.3010246999999999, Longitude: 103.7900218999999993, Xcovariance: 2.3666200637817383, Ycovariance: 2.5920035839080811, Zcovariance: 16.0289497375488281
Counter: 100, GPS precision: 2.0000000000000000, Latitude: 1.3010249999999999, Longitude: 103.7900228999999968, Xcovariance: 2.3511276245117188, Ycovariance: 2.5721197128295898, Zcovariance: 15.9189720153808594
Counter: 101, GPS precision: 2.0000000000000000, Latitude: 1.3010253000000001, Longitude: 103.7900240999999966, Xcovariance: 2.3357408046722412, Ycovariance: 2.5525057315826416, Zcovariance: 15.8099803924560547
